id,surah,ayat,terjemah,clean_ayat,topik
[1.1],Al-Fatihah,1,Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang,sebut nama allah maha murah maha sayang,ibadah
[1.1],Al-Fatihah,1,Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang,sebut nama allah maha murah maha sayang,iman
[1.1],Al-Fatihah,1,Dengan menyebut nama Allah Yang Maha Pemurah lagi Maha Penyayang,sebut nama allah maha murah maha sayang,akhlaq dan adab
[1.2],Al-Fatihah,2,Segala puji bagi Allah Tuhan semesta alam,puji allah tuhan semesta alam,ibadah
[1.2],Al-Fatihah,2,Segala puji bagi Allah Tuhan semesta alam,puji allah tuhan semesta alam,iman
[1.3],Al-Fatihah,3,Maha Pemurah lagi Maha Penyayang,maha murah maha sayang,iman
[1.4],Al-Fatihah,4,Yang menguasai hari pembalasan.,kuasa balas,iman
[1.5],Al-Fatihah,5,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan,engkau sembah engkau mohon tolong,ibadah
[1.5],Al-Fatihah,5,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan,engkau sembah engkau mohon tolong,iman
[1.6],Al-Fatihah,6,Tunjukilah kami jalan yang lurus,tunjuk jalan lurus,ibadah
[1.7],Al-Fatihah,7,(yaitu) jalan orang-orang yang telah Engkau anugerahkan nikmat kepada mereka bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.,jalan engkau anugerah nikmat jalan murka jalan sesat,alquran
[1.7],Al-Fatihah,7,(yaitu) jalan orang-orang yang telah Engkau anugerahkan nikmat kepada mereka bukan (jalan) mereka yang dimurkai dan bukan (pula jalan) mereka yang sesat.,jalan engkau anugerah nikmat jalan murka jalan sesat,bangsa bangsa terdahulu
[2.1],Al-Baqarah,1,Alif Laam Miim.,alif laam miim,alquran
[2.2],Al-Baqarah,2,Kitab (Al Qur'an) ini tidak ada keraguan padanya petunjuk bagi mereka yang bertakwa,kitab qur ragu tunjuk takwa,alquran
[2.2],Al-Baqarah,2,Kitab (Al Qur'an) ini tidak ada keraguan padanya petunjuk bagi mereka yang bertakwa,kitab qur ragu tunjuk takwa,iman
[2.3],Al-Baqarah,3,(yaitu) mereka yang beriman kepada yang gaib yang mendirikan shalat dan menafkahkan sebahagian rezki yang Kami anugerahkan kepada mereka,iman gaib diri shalat nafkah sebahagian rezki anugerah,akhlaq dan adab
